question,correct_answer,model,guessed,hints
Podwodny grunt,DNO,openrouter/openai/gpt-5.4-nano,True,1.0
Podwodny grunt,DNO,openrouter/google/gemma-4-31b-it,True,0.0
Podwodny grunt,DNO,openrouter/openai/gpt-oss-20b,True,0.0
Podwodny grunt,DNO,openrouter/openai/gpt-oss-120b,True,0.0
Podwodny grunt,DNO,openrouter/x-ai/grok-4.1-fast,True,0.0
Podwodny grunt,DNO,openrouter/google/gemini-3.1-flash-lite-preview,True,0.0
Podwodny grunt,DNO,openrouter/qwen/qwen3.5-flash-02-23,True,0.0
Podwodny grunt,DNO,openrouter/mistralai/ministral-14b-2512,True,0.0
Podwodny grunt,DNO,openrouter/mistralai/mistral-small-2603,True,0.0
Podwodny grunt,DNO,openrouter/anthropic/claude-sonnet-4.6,True,0.0
Podwodny grunt,DNO,openrouter/anthropic/claude-opus-4.7,True,0.0
Kropla smutku,ŁZA,openrouter/openai/gpt-5.4-nano,True,0.0
Kropla smutku,ŁZA,openrouter/google/gemma-4-31b-it,True,0.0
Kropla smutku,ŁZA,openrouter/openai/gpt-oss-20b,True,2.0
Kropla smutku,ŁZA,openrouter/openai/gpt-oss-120b,True,0.0
Kropla smutku,ŁZA,openrouter/x-ai/grok-4.1-fast,True,0.0
Kropla smutku,ŁZA,openrouter/google/gemini-3.1-flash-lite-preview,True,0.0
Kropla smutku,ŁZA,openrouter/qwen/qwen3.5-flash-02-23,True,0.0
Kropla smutku,ŁZA,openrouter/mistralai/ministral-14b-2512,True,0.0
Kropla smutku,ŁZA,openrouter/mistralai/mistral-small-2603,True,0.0
Kropla smutku,ŁZA,openrouter/anthropic/claude-sonnet-4.6,True,0.0
Kropla smutku,ŁZA,openrouter/anthropic/claude-opus-4.7,True,0.0
Góral z dowcipów,BACA,openrouter/openai/gpt-5.4-nano,True,1.0
Góral z dowcipów,BACA,openrouter/google/gemma-4-31b-it,True,0.0
Góral z dowcipów,BACA,openrouter/openai/gpt-oss-20b,True,4.0
Góral z dowcipów,BACA,openrouter/openai/gpt-oss-120b,True,2.0
Góral z dowcipów,BACA,openrouter/x-ai/grok-4.1-fast,True,1.0
Góral z dowcipów,BACA,openrouter/google/gemini-3.1-flash-lite-preview,True,2.0
Góral z dowcipów,BACA,openrouter/qwen/qwen3.5-flash-02-23,True,4.0
Góral z dowcipów,BACA,openrouter/mistralai/ministral-14b-2512,True,3.0
Góral z dowcipów,BACA,openrouter/mistralai/mistral-small-2603,True,0.0
Góral z dowcipów,BACA,openrouter/anthropic/claude-sonnet-4.6,True,1.0
Góral z dowcipów,BACA,openrouter/anthropic/claude-opus-4.7,True,0.0
Blada u chorego,CERA,openrouter/openai/gpt-5.4-nano,True,0.0
Blada u chorego,CERA,openrouter/google/gemma-4-31b-it,True,0.0
Blada u chorego,CERA,openrouter/openai/gpt-oss-20b,True,4.0
Blada u chorego,CERA,openrouter/openai/gpt-oss-120b,True,2.0
Blada u chorego,CERA,openrouter/x-ai/grok-4.1-fast,True,0.0
Blada u chorego,CERA,openrouter/google/gemini-3.1-flash-lite-preview,True,0.0
Blada u chorego,CERA,openrouter/qwen/qwen3.5-flash-02-23,True,2.0
Blada u chorego,CERA,openrouter/mistralai/ministral-14b-2512,True,1.0
Blada u chorego,CERA,openrouter/mistralai/mistral-small-2603,True,0.0
Blada u chorego,CERA,openrouter/anthropic/claude-sonnet-4.6,True,0.0
Blada u chorego,CERA,openrouter/anthropic/claude-opus-4.7,True,0.0
Podróż przez morze,REJS,openrouter/openai/gpt-5.4-nano,True,0.0
Podróż przez morze,REJS,openrouter/google/gemma-4-31b-it,True,0.0
Podróż przez morze,REJS,openrouter/openai/gpt-oss-20b,True,2.0
Podróż przez morze,REJS,openrouter/openai/gpt-oss-120b,True,0.0
Podróż przez morze,REJS,openrouter/x-ai/grok-4.1-fast,True,0.0
Podróż przez morze,REJS,openrouter/google/gemini-3.1-flash-lite-preview,True,0.0
Podróż przez morze,REJS,openrouter/qwen/qwen3.5-flash-02-23,True,0.0
Podróż przez morze,REJS,openrouter/mistralai/ministral-14b-2512,True,0.0
Podróż przez morze,REJS,openrouter/mistralai/mistral-small-2603,True,0.0
Podróż przez morze,REJS,openrouter/anthropic/claude-sonnet-4.6,True,0.0
Podróż przez morze,REJS,openrouter/anthropic/claude-opus-4.7,True,0.0
Sala sportowa,HALA,openrouter/openai/gpt-5.4-nano,True,0.0
Sala sportowa,HALA,openrouter/google/gemma-4-31b-it,True,0.0
Sala sportowa,HALA,openrouter/openai/gpt-oss-20b,True,0.0
Sala sportowa,HALA,openrouter/openai/gpt-oss-120b,True,0.0
Sala sportowa,HALA,openrouter/x-ai/grok-4.1-fast,True,0.0
Sala sportowa,HALA,openrouter/google/gemini-3.1-flash-lite-preview,True,0.0
Sala sportowa,HALA,openrouter/qwen/qwen3.5-flash-02-23,True,0.0
Sala sportowa,HALA,openrouter/mistralai/ministral-14b-2512,True,0.0
Sala sportowa,HALA,openrouter/mistralai/mistral-small-2603,True,0.0
Sala sportowa,HALA,openrouter/anthropic/claude-sonnet-4.6,True,0.0
Sala sportowa,HALA,openrouter/anthropic/claude-opus-4.7,True,0.0
Połowica władcy zwierząt,LWICA,openrouter/openai/gpt-5.4-nano,True,0.0
Połowica władcy zwierząt,LWICA,openrouter/google/gemma-4-31b-it,True,0.0
Połowica władcy zwierząt,LWICA,openrouter/openai/gpt-oss-20b,True,3.0
Połowica władcy zwierząt,LWICA,openrouter/openai/gpt-oss-120b,True,2.0
Połowica władcy zwierząt,LWICA,openrouter/x-ai/grok-4.1-fast,True,0.0
Połowica władcy zwierząt,LWICA,openrouter/google/gemini-3.1-flash-lite-preview,True,0.0
Połowica władcy zwierząt,LWICA,openrouter/qwen/qwen3.5-flash-02-23,True,4.0
Połowica władcy zwierząt,LWICA,openrouter/mistralai/ministral-14b-2512,True,1.0
Połowica władcy zwierząt,LWICA,openrouter/mistralai/mistral-small-2603,True,0.0
Połowica władcy zwierząt,LWICA,openrouter/anthropic/claude-sonnet-4.6,True,0.0
Połowica władcy zwierząt,LWICA,openrouter/anthropic/claude-opus-4.7,True,0.0
